block_id,season,date,ETa,ETo,Kc,NDVI
K1,2022/2023,2022-08-01,,1.9144101350203804,,
K1,2022/2023,2022-08-02,,1.83002315544934,,
K1,2022/2023,2022-08-03,,1.501960233131551,,
K1,2022/2023,2022-08-04,,1.5542072746324245,,
K1,2022/2023,2022-08-05,,1.391898208523389,,
K1,2022/2023,2022-08-06,,2.207964026409647,,
K1,2022/2023,2022-08-07,,2.05459291446283,,
K1,2022/2023,2022-08-08,,2.0268649462587343,,
K1,2022/2023,2022-08-09,,2.0887058803013394,,
K1,2022/2023,2022-08-10,,0.8663997294739907,,
K1,2022/2023,2022-08-11,,1.5103274517177796,,
K1,2022/2023,2022-08-12,,1.264489784003785,,
K1,2022/2023,2022-08-13,0.7841209269458462,1.7055429020283386,0.459808918259899,0.6098711475822496
K1,2022/2023,2022-08-14,0.6489748747452445,1.411601570082007,,
K1,2022/2023,2022-08-15,0.9236391434758346,2.0088394828464677,,
K1,2022/2023,2022-08-16,1.1179466484496312,2.431299624235734,,
K1,2022/2023,2022-08-17,0.4409399565702639,0.9587937822993498,,
K1,2022/2023,2022-08-18,0.4361522034828707,0.9485471737310752,,
K1,2022/2023,2022-08-19,0.5988388535398874,1.302647750570167,,
K1,2022/2023,2022-08-20,0.7403146021114373,1.6102799125339673,,
K1,2022/2023,2022-08-21,0.9321172489142566,2.027230398995536,,
K1,2022/2023,2022-08-22,1.062577526021448,2.31091953064344,,
K1,2022/2023,2022-08-23,1.5557351438155085,3.3738058338994565,0.4611447257284792,0.5906599530522127
K1,2022/2023,2022-08-24,1.5039418854328417,3.2607524232094334,,
K1,2022/2023,2022-08-25,0.7807724757224136,1.6934188937548524,,
K1,2022/2023,2022-08-26,0.9807804652622768,2.1272154624417703,,
K1,2022/2023,2022-08-27,0.8252512298015334,1.7898917820142664,,
K1,2022/2023,2022-08-28,0.7886345904806386,1.71032108283191,,
K1,2022/2023,2022-08-29,0.9833188264266304,2.1327021817983307,,
K1,2022/2023,2022-08-30,1.749651417228746,3.795081855347438,,
K1,2022/2023,2022-08-31,2.206417865634705,4.784569023558812,,
K1,2022/2023,2022-09-01,1.8366513459578804,3.9825833717488353,,
K1,2022/2023,2022-09-02,1.0295428163516596,2.2329355559734085,,
K1,2022/2023,2022-09-03,1.13332220041974,2.4578233801800278,,
K1,2022/2023,2022-09-04,0.8769099075601708,1.901940576778436,,
K1,2022/2023,2022-09-05,0.929421087229474,2.015761097025427,,
K1,2022/2023,2022-09-06,1.1232031591190317,2.435930145453222,,
K1,2022/2023,2022-09-07,1.570716336647176,3.4153597813955745,0.4598945949388587,0.4762732464334239
K1,2022/2023,2022-09-08,1.4551282610212053,3.164118606851708,,
K1,2022/2023,2022-09-09,1.362731175393051,2.9631271836180124,,
K1,2022/2023,2022-09-10,0.7401966071276931,1.6095232282366072,,
K1,2022/2023,2022-09-11,0.8139578303935365,1.769781077130241,,
K1,2022/2023,2022-09-12,1.176287443741508,2.599268374235734,0.4525533640606803,0.4520795360115004
K1,2022/2023,2022-09-13,1.59727790785132,3.52952888441382,,
K1,2022/2023,2022-09-14,1.881260842269992,4.157022606512034,,
K1,2022/2023,2022-09-15,1.51369935977533,3.3447963169642856,,
K1,2022/2023,2022-09-16,1.3025740155522127,2.8782894537315604,,
K1,2022/2023,2022-09-17,0.6902615564950505,1.5252744307429154,,
K1,2022/2023,2022-09-18,1.0759669712611608,2.3776034716493597,,
K1,2022/2023,2022-09-19,1.2100746676048135,2.673926311990489,,
K1,2022/2023,2022-09-20,1.377557790057259,3.043995353746118,,
K1,2022/2023,2022-09-21,1.728521121955066,3.819521696671196,,
K1,2022/2023,2022-09-22,1.220884334967003,2.6978145623059007,,
K1,2022/2023,2022-09-23,1.073861068820361,2.3729202554833075,,
K1,2022/2023,2022-09-24,1.2273787030522127,2.7121443659622475,,
K1,2022/2023,2022-09-25,1.3864683542192353,3.063686584093556,,
K1,2022/2023,2022-09-26,1.147539032171972,2.5357235736728456,,
K1,2022/2023,2022-09-27,1.528490528556871,3.489936023025039,0.4379763869765382,0.406322597716906
K1,2022/2023,2022-09-28,1.5176184991872088,3.4650795504173137,,
K1,2022/2023,2022-09-29,1.4826015685656055,3.38515041185462,,
K1,2022/2023,2022-09-30,1.2088442026458173,2.760080657390334,,
K1,2022/2023,2022-10-01,1.4795640270162074,3.378215529163432,,
K1,2022/2023,2022-10-02,1.9911203325164983,4.569414790372671,0.4357845235315168,0.3984625680106027
K1,2022/2023,2022-10-03,1.1884258578282705,2.727432156201475,,
K1,2022/2023,2022-10-04,1.4091214955963702,3.233765785738548,,
K1,2022/2023,2022-10-05,1.521864043999903,3.49244377183618,,
K1,2022/2023,2022-10-06,1.0250269729898582,2.352458124575408,,
K1,2022/2023,2022-10-07,2.3930171232045807,5.51145641255823,0.4341808342785568,0.4293886741496021
K1,2022/2023,2022-10-08,1.9732332407317548,4.544675838873253,,
K1,2022/2023,2022-10-09,2.2125185380070844,5.095816855104814,,
K1,2022/2023,2022-10-10,1.6893960703974185,3.890982491629464,,
K1,2022/2023,2022-10-11,1.7787077530570652,4.096645568468556,,
K1,2022/2023,2022-10-12,1.7524918265964673,3.880959836592585,0.4515790287752329,0.4137253850143148
K1,2022/2023,2022-10-13,1.279663844138199,2.8338272379051825,,
K1,2022/2023,2022-10-14,2.200766616726514,4.873847534937888,,
K1,2022/2023,2022-10-15,1.3739840110636643,3.042811233804833,,
K1,2022/2023,2022-10-16,2.081831653666052,4.610425487068129,,
K1,2022/2023,2022-10-17,1.9586837484229425,4.337722683545225,,
K1,2022/2023,2022-10-18,1.9826576754173135,4.390733043599573,,
K1,2022/2023,2022-10-19,2.3660191127232144,5.239817364615683,,
K1,2022/2023,2022-10-20,1.876103561117042,4.154764684831133,,
K1,2022/2023,2022-10-21,2.1773457971418866,4.82214962029309,,
K1,2022/2023,2022-10-22,2.755235565375097,6.194490989542896,0.4448157837672263,0.4365223475864955
K1,2022/2023,2022-10-23,2.6315925550756987,5.916453485903532,,
K1,2022/2023,2022-10-24,2.295427973966421,5.16066879367236,,
K1,2022/2023,2022-10-25,1.7562255859375,3.948455241896351,,
K1,2022/2023,2022-10-26,2.533008456970594,5.694784034112966,,
K1,2022/2023,2022-10-27,2.147587177916343,4.661555888489906,0.460690326572205,0.4389658862759608
K1,2022/2023,2022-10-28,2.850580630095109,6.187421905328028,,
K1,2022/2023,2022-10-29,2.4302811711471275,5.275179087005046,,
K1,2022/2023,2022-10-30,1.5442240460318808,3.3517630440848216,,
K1,2022/2023,2022-10-31,2.8335127741653725,6.15032314513781,,
K1,2022/2023,2022-11-01,3.531077130240684,7.713005871506211,0.457808216166052,0.4347349368267177
K1,2022/2023,2022-11-02,2.2083800890430902,4.823780889096468,,
K1,2022/2023,2022-11-03,2.1441422930415373,4.68347774529309,,
K1,2022/2023,2022-11-04,2.241692394943711,4.896511670225156,,
K1,2022/2023,2022-11-05,1.8544925666003491,4.050765706885676,,
K1,2022/2023,2022-11-06,2.929373984011064,5.834560607531056,0.5020880847243789,0.4268646714109811
K1,2022/2023,2022-11-07,2.391588104437597,4.763535398874224,,
K1,2022/2023,2022-11-08,2.075930767177795,4.134800502232143,,
K1,2022/2023,2022-11-09,1.8432734708608307,3.6714481330065993,,
K1,2022/2023,2022-11-10,3.063900396690605,6.1025523310122285,,
K1,2022/2023,2022-11-11,2.4019460737335017,5.107399128979037,0.4702812810862286,0.3831154011791537
K1,2022/2023,2022-11-12,2.164081455017469,4.601522315362966,,
K1,2022/2023,2022-11-13,2.033078021884705,4.323014348190023,,
K1,2022/2023,2022-11-14,2.7263149474718555,5.797114212320458,,
K1,2022/2023,2022-11-15,2.4258858816964284,5.158256199048913,,
K1,2022/2023,2022-11-16,1.9259200007278727,4.095134095375582,,
K1,2022/2023,2022-11-17,2.212697662922166,4.704937099670032,,
K1,2022/2023,2022-11-18,2.135008628323952,4.539775208656832,,
K1,2022/2023,2022-11-19,1.918379505228552,4.079128099524456,,
K1,2022/2023,2022-11-20,2.5545570894798137,5.431879458220108,,
K1,2022/2023,2022-11-21,2.6718522539790373,5.320576353843168,0.5021732875279018,0.4294562013993352
K1,2022/2023,2022-11-22,2.638788637907609,5.254735721564441,,
K1,2022/2023,2022-11-23,2.2127509265212537,4.406350840692935,,
K1,2022/2023,2022-11-24,1.725380844210986,3.4358281674592392,,
K1,2022/2023,2022-11-25,2.926097419691382,5.826863733137617,,
K1,2022/2023,2022-11-26,3.2271303923233696,6.691215941624612,0.4822782907426727,0.4308765482458269
K1,2022/2023,2022-11-27,3.751976629221661,7.779427285520186,,
K1,2022/2023,2022-11-28,3.563799555997671,7.389317103794643,,
K1,2022/2023,2022-11-29,3.1570836416682844,6.546040221030668,,
K1,2022/2023,2022-11-30,2.568141392299107,5.324918569244954,,
K1,2022/2023,2022-12-01,2.5612393017881407,5.310551424204193,,
K1,2022/2023,2022-12-02,1.9942177719210985,4.134666300708463,,
K1,2022/2023,2022-12-03,2.2232112529114905,4.609519816333463,,
K1,2022/2023,2022-12-04,2.6733375691479035,5.542723092973603,,
K1,2022/2023,2022-12-05,2.110578454059103,4.3760220545419255,,
K1,2022/2023,2022-12-06,2.766512284367721,5.531765197374806,0.5000916001219187,0.419680482852533
K1,2022/2023,2022-12-07,2.9363611825504656,5.871428116508152,,
K1,2022/2023,2022-12-08,3.672380719866072,7.343108562208851,,
K1,2022/2023,2022-12-09,3.0942923030497864,6.187099290930706,,
K1,2022/2023,2022-12-10,2.58090835476514,5.160703291804154,,
K1,2022/2023,2022-12-11,2.6967708990440604,5.392097046656638,,
K1,2022/2023,2022-12-12,1.8214835409792316,3.6420496591129656,,
